time,open,high,low,close,Volume,MA,MA,MA,Low Difference (%),High Difference (%)
1751501305,0.1352,0.1352,0.1352,0.1352,108.4,NaN,0.13531851851851853,0.1352777777777778,NaN,NaN
1751501317,0.1352,0.1352,0.1352,0.1352,1915,NaN,0.13531481481481483,0.1352666666666667,NaN,NaN
1751501325,0.1352,0.1352,0.1352,0.1352,3670.3,NaN,0.13530740740740743,0.13525555555555557,NaN,NaN
1751501332,0.1352,0.1353,0.1352,0.1353,51757.8,0.13497676767676767,0.13530370370370373,0.13524444444444447,NaN,NaN
1751501338,0.1352,0.1352,0.1352,0.1352,4534.1,0.13498484848484849,0.1352962962962963,0.13523333333333337,NaN,NaN
1751501339,0.1352,0.1352,0.1352,0.1352,1000,0.1349929292929293,0.1352925925925926,0.13523333333333337,NaN,NaN
1751501342,0.1351,0.1351,0.1351,0.1351,1324.1,0.1349989898989899,0.1352888888888889,0.13521111111111114,NaN,NaN
1751501343,0.1351,0.1351,0.1351,0.1351,6845,0.1350060606060606,0.1352851851851852,0.13518888888888891,NaN,NaN
1751501344,0.1351,0.1351,0.1351,0.1351,16660.3,0.1350111111111111,0.1352777777777778,0.13517777777777779,NaN,NaN
1751501347,0.1351,0.1351,0.1351,0.1351,76.4,0.13501616161616162,0.13527037037037037,0.13516666666666668,NaN,NaN
1751501348,0.135,0.135,0.135,0.135,7400.1,0.135020202020202,0.13525925925925927,0.13514444444444446,NaN,NaN
1751501350,0.1349,0.1349,0.1348,0.1348,5284.3,0.13502222222222224,0.13524074074074074,0.13510000000000003,NaN,NaN
1751501360,0.1348,0.1348,0.1348,0.1348,9532.3,0.13502424242424244,0.13521851851851852,0.13504444444444444,NaN,NaN
1751501362,0.1348,0.1348,0.1347,0.1347,500,0.13502626262626263,0.1351925925925926,0.1349888888888889,NaN,NaN
1751501363,0.1348,0.1348,0.1348,0.1348,105.4,0.13502828282828283,0.13517037037037036,0.13494444444444445,NaN,NaN
1751501368,0.1348,0.1348,0.1348,0.1348,603.9,0.13503030303030303,0.13515185185185186,0.13491111111111112,NaN,NaN
1751501375,0.1349,0.1349,0.1349,0.1349,4121.6,0.13503333333333334,0.13513333333333333,0.13488888888888892,NaN,NaN
1751501379,0.1351,0.1351,0.1351,0.1351,16997.4,0.13503838383838385,0.13512222222222223,0.13488888888888892,NaN,NaN
1751501413,0.135,0.135,0.135,0.135,74.1,0.13504242424242424,0.1351074074074074,0.1348777777777778,NaN,NaN
1751501419,0.1349,0.1349,0.1349,0.1349,115.1,0.13504646464646464,0.13509259259259257,0.13486666666666666,NaN,NaN
1751501431,0.1349,0.1349,0.1349,0.1349,611.8,0.13505050505050503,0.13507777777777777,0.13487777777777776,NaN,NaN
1751501465,0.1349,0.1349,0.1349,0.1349,777.7,0.13505555555555557,0.13505925925925924,0.1348888888888889,NaN,NaN
1751501515,0.1348,0.1348,0.1348,0.1348,1796.1,0.13505959595959593,0.1350407407407407,0.1349,NaN,NaN
1751501523,0.1348,0.1348,0.1348,0.1348,136.6,0.13506464646464647,0.1350259259259259,0.1349,NaN,NaN
